ID,res
13,0.9397674929774141
14,-0.2761178322219799
23,-0.692510964589118
26,1.5363210871885469
34,0.17273148468859006
39,-0.8676038068603634
41,-0.48590322209544695
69,-1.571522194029602
72,0.17214442901881657
89,0.16313641304830853
90,0.9141558539009627
91,0.17064456544440354
116,0.6822014483594603
118,-0.559206845764035
135,-0.6444369300265214
141,-0.23948727657840685
143,1.6824440930739808
153,-0.23881307384408562
159,0.3276313860964116
166,-1.0852318265009062
179,0.25105955085931686
195,1.3980751467663743
209,-0.3266171233347903
211,1.0553612339993481
217,-0.8064279815909358
223,-0.8155964111743919
224,-0.7014784202853128
229,-1.4576454307123856
244,-0.5622947268439987
277,1.917803048939277
278,-0.24865493687855675
290,1.3806437470198039
291,0.12060708926951162
294,-0.2604819876000633
299,0.34484993567197014
308,-0.8046070444518375
309,1.1085560917557837
316,-1.1030791614785511
348,0.8011304234456607
355,0.2385506243186079
373,0.1385018597333272
374,0.7262803003994042
409,-0.8589957250488136
415,-1.2275839355565217
424,-0.2918554012839794
426,1.212736728219815
431,0.5771822058760142
456,2.2804284209671697
463,-1.0041100848683782
490,0.10594823900415376
516,3.057125295893768
519,0.01974265105591077
526,0.8914957534689752
528,0.8494434424078634
537,1.610904824148011
544,0.05529994605626071
555,1.2053964476066032
575,-1.7462844911298447
581,-0.7518730443695107
588,0.07762224626256801
590,-0.5901051444758696
593,0.22421828464607094
598,-1.7156039432608636
602,0.5352277599732402
603,-0.49253946802307097
606,-0.46282727659991957
621,-0.15035606922907893
649,-0.5849704192896772
665,-1.7265081965157052
709,0.6040249586659809
722,0.026876989718585032
747,-3.0469665689818743
752,1.1075277096926441
755,-0.6916751205251855
766,0.19570964046414777
768,0.2922544282388072
774,-1.051896381014324
775,-1.509694398767663
818,1.5327183191774116
821,1.923693661119528
840,0.5984434378907769
842,0.16666305403805143
844,0.1371988374732128
854,0.3137095103621686
859,-0.2735987810716879
865,1.0484328670221998
871,0.6938058517870885
880,-0.5950679864950017
895,0.12384194319445066
905,0.037522091963239544
923,0.06590323287155307
932,1.0283512146811002
937,-0.5148607228890015
938,0.6232764247623926
953,0.17395309364207157
954,-0.034780884740153964
979,0.9808235651492686
988,0.13859221032178234
994,-1.0961695062595007
999,-1.283708807677855
